Full name	First name	ID	Class	Start date	Start time	End date	End time
Connor	Sarah		CS101	Sep 27, 2023	8:30 AM	Sep 27, 2023	12:15 PM
Connor	Sarah		CS101	Sep 27, 2023	1:15 PM	Sep 27, 2023	3:00 PM
Connor	Sarah		CS101	Sep 29, 2023	1:15 PM	Sep 29, 2023	3:00 PM
Connor	Sarah		CS101	Oct 3, 2023	8:30 AM	Oct 3, 2023	9:20 AM
Connor	Sarah		CS101	Oct 3, 2023	9:25 AM	Oct 3, 2023	12:15 PM
Connor	Sarah		CS101	Dec 8, 2023	1:15 PM	Dec 8, 2023	3:00 PM
Quaid	Douglas		CS101	Oct 3, 2023	8:55 AM	Oct 3, 2023	9:20 AM
Quaid	Douglas		CS101	Oct 9, 2023	1:15 PM	Oct 9, 2023	4:50 PM
Quaid	Douglas		CS101	Oct 10, 2023	8:30 AM	Oct 10, 2023	10:15 AM
Quaid	Douglas		CS101	Oct 10, 2023	1:15 PM	Oct 10, 2023	3:00 PM
Quaid	Douglas		CS101	Oct 11, 2023	1:15 PM	Oct 11, 2023	1:17 PM
Quaid	Douglas		CS101	Oct 13, 2023	8:30 AM	Oct 13, 2023	8:50 AM
Trautman	Samuel		CS101	Oct 10, 2023	8:30 AM	Oct 10, 2023	9:06 AM
Trautman	Samuel		CS101	Oct 12, 2023	1:15 PM	Oct 12, 2023	2:05 PM
Trautman	Samuel		CS101	Oct 26, 2023	8:30 AM	Oct 26, 2023	12:15 PM
Trautman	Samuel		CS101	Oct 26, 2023	1:15 PM	Oct 26, 2023	2:05 PM
Trautman	Samuel		CS101	Nov 15, 2023	10:30 AM	Nov 15, 2023	12:15 PM
Trautman	Samuel		CS101	Nov 15, 2023	1:15 PM	Nov 15, 2023	3:00 PM
Walker	Gabe		CS101	Sep 22, 2023	10:30 AM	Sep 22, 2023	10:47 AM
Walker	Gabe		CS101	Oct 26, 2023	8:30 AM	Oct 26, 2023	12:15 PM
Walker	Gabe		CS101	Oct 26, 2023	1:15 PM	Oct 26, 2023	2:05 PM
Walker	Gabe		CS101	Nov 27, 2023	8:30 AM	Nov 27, 2023	6:40 PM
Walker	Gabe		CS101	Dec 6, 2023	10:30 AM	Dec 6, 2023	10:43 AM
Walker	Gabe		CS101	Dec 7, 2023	8:30 AM	Dec 8, 2023	4:50 PM
Phoenix	Simon		CS101	Sep 27, 2023	8:30 AM	Sep 27, 2023	12:15 PM
Phoenix	Simon		CS101	Oct 9, 2023	10:30 AM	Oct 9, 2023	10:52 AM
Phoenix	Simon		CS101	Oct 12, 2023	8:30 AM	Oct 12, 2023	10:15 AM
Phoenix	Simon		CS101	Oct 12, 2023	1:15 PM	Oct 12, 2023	1:47 PM
Phoenix	Simon		CS101	Oct 18, 2023	8:30 AM	Oct 18, 2023	8:53 AM
Phoenix	Simon		CS101	Oct 19, 2023	10:30 AM	Oct 19, 2023	10:54 AM
McClane	John		CS101	Oct 12, 2023	1:15 PM	Oct 12, 2023	2:05 PM
McClane	John		CS101	Oct 26, 2023	8:30 AM	Oct 26, 2023	12:15 PM
McClane	John		CS101	Oct 26, 2023	1:15 PM	Oct 26, 2023	2:05 PM
McClane	John		CS101	Nov 23, 2023	8:30 AM	Nov 23, 2023	10:15 AM
Huxley	Lenina		CS101	Sep 21, 2023	8:30 AM	Sep 21, 2023	8:34 AM
Huxley	Lenina		CS101	Sep 29, 2023	8:30 AM	Sep 29, 2023	10:15 AM
Huxley	Lenina		CS101	Sep 29, 2023	10:30 AM	Sep 29, 2023	12:15 PM
Huxley	Lenina		CS101	Sep 29, 2023	1:15 PM	Sep 29, 2023	3:00 PM
Gruber	Hans		CS101	Oct 12, 2023	1:15 PM	Oct 12, 2023	2:05 PM
Gruber	Hans		CS101	Oct 27, 2023	8:30 AM	Oct 27, 2023	12:15 PM
Gruber	Hans		CS101	Oct 27, 2023	1:15 PM	Oct 27, 2023	3:00 PM
Gruber	Hans		CS101	Nov 21, 2023	8:30 AM	Nov 21, 2023	12:15 PM
Vega	Vincent		CS101	Sep 22, 2023	1:15 PM	Sep 22, 2023	3:00 PM
Vega	Vincent		CS101	Sep 29, 2023	1:15 PM	Sep 29, 2023	1:20 PM
Vega	Vincent		CS101	Oct 4, 2023	10:30 AM	Oct 4, 2023	12:15 PM
Vega	Vincent		CS101	Oct 13, 2023	10:30 AM	Oct 13, 2023	12:15 PM
Sloane	Kurt		CS101	Oct 4, 2023	8:30 AM	Oct 4, 2023	10:15 AM
Sloane	Kurt		CS101	Oct 13, 2023	8:30 AM	Oct 13, 2023	10:15 AM
Sloane	Kurt		CS101	Oct 20, 2023	8:30 AM	Oct 20, 2023	12:15 PM
Sloane	Kurt		CS101	Oct 20, 2023	1:15 PM	Oct 20, 2023	3:00 PM
