Full name	First name	ID	Class	Start date	Start time	End date	End time
Vincent	Charlie		CS101	Oct 3, 2023	8:30 AM	Oct 3, 2023	9:20 AM
Vincent	Charlie		CS101	Oct 12, 2023	8:30 AM	Oct 12, 2023	10:15 AM
Vincent	Charlie		CS101	Oct 12, 2023	10:30 AM	Oct 12, 2023	12:15 PM
Vincent	Charlie		CS101	Oct 17, 2023	8:30 AM	Oct 17, 2023	12:15 PM
Vincent	Charlie		CS101	Oct 17, 2023	1:15 PM	Oct 17, 2023	2:05 PM
Vincent	Charlie		CS101	Oct 18, 2023	8:30 AM	Oct 18, 2023	12:15 PM
Vincent	Charlie		CS101	Oct 18, 2023	1:15 PM	Oct 18, 2023	3:00 PM
Vincent	Charlie		CS101	Oct 19, 2023	8:30 AM	Oct 19, 2023	12:15 PM
Vincent	Charlie		CS101	Oct 19, 2023	1:15 PM	Oct 19, 2023	2:05 PM
Vincent	Charlie		CS101	Oct 20, 2023	8:30 AM	Oct 20, 2023	12:15 PM
Vincent	Charlie		CS101	Oct 20, 2023	1:15 PM	Oct 20, 2023	3:00 PM
Vincent	Charlie		CS101	Oct 25, 2023	8:30 AM	Oct 25, 2023	10:15 AM
Vincent	Charlie		CS101	Oct 26, 2023	8:30 AM	Oct 26, 2023	10:15 AM
Vincent	Charlie		CS101	Oct 27, 2023	1:15 PM	Oct 27, 2023	3:00 PM
Vincent	Charlie		CS101	Nov 8, 2023	8:30 AM	Nov 8, 2023	10:15 AM
Vincent	Charlie		CS101	Nov 13, 2023	10:30 AM	Nov 13, 2023	12:15 PM
Vincent	Charlie		CS101	Nov 16, 2023	8:30 AM	Nov 16, 2023	10:15 AM
Vincent	Charlie		CS101	Nov 27, 2023	11:25 AM	Nov 27, 2023	12:15 PM
Vincent	Charlie		CS101	Nov 27, 2023	1:15 PM	Nov 27, 2023	3:00 PM
Vincent	Charlie		CS101	Dec 4, 2023	10:30 AM	Dec 4, 2023	10:32 AM
Vincent	Charlie		CS101	Dec 5, 2023	10:30 AM	Dec 5, 2023	12:15 PM
Vincent	Charlie		CS101	Dec 5, 2023	1:15 PM	Dec 5, 2023	3:00 PM
